Product Name,Product ID,Listing Price,Sale Price,Discount,Brand,Description,Rating,Reviews,Last Visited,Gender,Product Type,Popularity
Women's adidas Originals NMD_Racer Primeknit Shoes,AH2430,149.99,74.99,50,Adidas Adidas ORIGINALS,"Women's adidas Originals NMD_Racer Primeknit Shoes: Channeling the streamlined look of an '80s racer, these shoes are updated with modern features. The foot-hugging adidas Primeknit upper offers a soft, breathable feel. The Boost midsole provides responsive comfort accented with a contrast-color EVA heel plug. Embroidered details add a distinctive finish.",4.8,41,2020-04-13 15:06:14,Women's product,footwear,medium popularity
Women's adidas Originals Sleek Shoes,G27341,75.99,37.99,50,Adidas ORIGINALS,"Women's adidas Originals Sleek Shoes: A modern take on adidas sport heritage, tailored just for women. Perforated 3-Stripes on the leather upper of these shoes offer a sleek look that mirrors iconic tennis styles.",3.3,24,2020-04-13 15:06:15,Women's product,footwear,low popularity
Women's adidas Swim Puka Slippers,CM0081,9.99,5.99,40,Adidas CORE / NEO,Women's adidas Swim Puka Slippers: These adidas Puka slippers for women's come with slim straps for a great fit. Feature performance logo on the footbed and textured Rubber outsole that gives unique comfort.,2.6,37,2020-04-13 15:06:15,Women's product,footwear,medium popularity
Women's adidas Sport Inspired Questar Ride Shoes,B44832,69.99,34.99,50,Adidas CORE / NEO,"Women's adidas Sport Inspired Questar Ride Shoes: Inspired by modern tech runners, these women's shoes step out with unexpected style. They're built with a breathable knit upper, while the heel offers the extra support of an Achilles-hugging design. The cushioned midsole provides a soft landing with every stride.",4.1,35,2020-04-13 15:06:15,Women's product,footwear,medium popularity
Women's adidas Originals Taekwondo Shoes,D98205,79.99,39.99,50,Adidas ORIGINALS,"Women's adidas Originals Taekwondo Shoes: This design is inspired by vintage Taekwondo styles originally worn to perfect high kicks and rapid foot strikes. The canvas shoes make a streetwear fashion statement as a chic, foot-hugging slip-on. They're shaped for a narrow, women's-specific fit and ride on a soft gum rubber outsole.",3.5,72,2020-04-13 15:06:15,Women's product,footwear,high popularity
Women's adidas Sport Inspired Duramo Lite 2.0 Shoes,B75586,47.99,19.2,60,Adidas CORE / NEO,"Women's adidas Sport Inspired Duramo Lite 2.0 Shoes: Refine your interval training in these women's versatile running-inspired shoes. Featuring a lightweight mesh and synthetic upper, they combine responsive midsole cushioning with a soft collar that reduces ankle pressure.",1.0,45,2020-04-13 15:06:15,Women's product,footwear,medium popularity
Women's adidas Sport Inspired Duramo Lite 2.0 Shoes,CG4051,47.99,23.99,50,Adidas CORE / NEO,"Women's adidas Sport Inspired Duramo Lite 2.0 Shoes: Refine your interval training in these women's versatile running-inspired shoes. Featuring a lightweight mesh and synthetic upper, they combine responsive midsole cushioning with a soft collar that reduces ankle pressure.",4.4,2,2020-04-13 15:06:15,Women's product,footwear,low popularity
Women's adidas Swim Puka Slippers,CM0080,9.99,5.99,40,Adidas CORE / NEO,Women's adidas Swim Puka Slippers: These adidas Puka slippers for women's come with slim straps for a great fit. Feature performance logo on the footbed and textured Rubber outsole that gives unique comfort.,2.8,7,2020-04-13 15:06:15,Women's product,footwear,low popularity
WOMEN'S ADIDAS RUNNING DURAMO 9 SHOES,B75990,55.99,27.99,50,Adidas CORE / NEO,"WOMEN'S ADIDAS RUNNING DURAMO 9 SHOES: These women's neutral running shoes will get you on the road to your goals. A sandwich mesh upper offers lightweight breathability, while a seamless print overlay adds support for a stable stride. The midsole offers pillow-soft Cloudfoam cushioning that eases every stride.",4.5,16,2020-04-13 15:06:15,Women's product,footwear,low popularity
Men's adidas Originals Forest Grove Shoes,EE5761,65.99,39.59,40,Adidas ORIGINALS,"Men's adidas Originals Forest Grove Shoes: The Forest Grove brings back the look of the adidas Oregon running design from the '80s. A favourite for marathon training, it had a distinctive look and feel with shock-absorbing cushioning and a web-wrapped midsole. These streetwear shoes echo the original look with a textured nubuck and mesh upper. A web overlay on the midsole adds authentic Oregon style.",4.0,39,2020-04-13 15:06:15,Men's product,footwear,medium popularity
