Product Name,Sale Price,Listing Price,Currency,Color,Description,Country,Rating,Reviews,Gender,Product Type,Popularity
Essentials Loose Logo Tank Top,20.0,25.0,USD,Purple,"Essentials Loose Logo Tank Top: What's on the agenda? Whether it's a quick lunch hour workout or a casual hang, you're covered with this adidas tank top. The fit is not too tight and not too loose — just perfectly comfortable. The high neck keeps things covered up front, and the racerback shows off your sports bra while also making sure you have a full range of motion.",USA,4.8,116,Women's product,clothing,high popularity
Essentials Loose Logo Tank Top,20.0,25.0,USD,Pink,"Essentials Loose Logo Tank Top: What's on the agenda? Whether it's a quick lunch hour workout or a casual hang, you're covered with this adidas tank top. The fit is not too tight and not too loose — just perfectly comfortable. The high neck keeps things covered up front, and the racerback shows off your sports bra while also making sure you have a full range of motion.",USA,4.8,116,Women's product,clothing,high popularity
Essentials Loose Logo Tank Top,20.0,25.0,USD,Green,"Essentials Loose Logo Tank Top: What's on the agenda? Whether it's a quick lunch hour workout or a casual hang, you're covered with this adidas tank top. The fit is not too tight and not too loose — just perfectly comfortable. The high neck keeps things covered up front, and the racerback shows off your sports bra while also making sure you have a full range of motion.",USA,4.8,116,Women's product,clothing,high popularity
Formotion Sculpt Tights,48.0,80.0,USD,Blue,"Formotion Sculpt Tights: Sometimes confidence comes in a surprising form. These adidas tights have a unique sculpted shape to hold you in and targeted compression zones that support your muscles as you bend and stretch. If a compression look is not your thing, order a size up. An adaptive Formotion design follows your natural movement for a better fit and greater comfort in motion. A high rise and flattering length help you focus, even before class begins.",USA,4.2,144,Women's product,clothing,high popularity
Marvel X Ghosted.3 Firm Ground Cleats,64.0,80.0,USD,Blue,Marvel X Ghosted.3 Firm Ground Cleats: X has mutated to give you superhuman acceleration. These limited-edition adidas soccer cleats fire a classic comic book character onto the pitch. Cyclops and Marvel X-Men graphics light up the semi-transparent and foot-hugging Speedskin upper as well as the insole. The low-cut silhouette with signature Clawcollar shape locks your foot in for match-long stability and support. The stretchy tongue ensures you can get into them in a flash.,USA,4.4,160,Other,footwear,very high popularity
Pureboost 21 Shoes,91.0,130.0,USD,Purple,"Pureboost 21 Shoes: For quick morning miles and more. These adidas Pureboost performance running shoes are so simple, you'll want to wear them beyond your daily run. With responsive BOOST, the comfort is clear as soon as you slip them on. The soft knit upper comes with an external heel counter, which locks your foot in place as you run down that last hill.",USA,4.5,63,Women's product,footwear,medium popularity
Lite Racer BYD 2.0 Shoes,56.0,70.0,USD,Grey,"Lite Racer BYD 2.0 Shoes: Simplicity, versatility and comfort. Lace up these running-inspired shoes on action-filled days. They're quick to slip on when you're racing out the door. The rubber outsole gives you traction on slippery and uneven surfaces. A Cloudfoam midsole is for a soft feel and all-day cushioning.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of the upper is recycled content. No virgin polyester.",USA,4.6,135,Men's product,footwear,high popularity
Adilette Shower Slides,20.0,25.0,USD,Pink,"Adilette Shower Slides: When you hit the pool, there's only one thing you need: these adidas slides. Okay, and a bathing suit. The point is, there's no need to pack a separate pair of shoes in your gym bag. All your pre- and post-pool comfort is right here. The slides dry quickly, so hop out of the shower and straight into them before taking on the rest of the day.",USA,4.6,327,Women's product,footwear,very high popularity
Essentials Loose Logo Tank Top,20.0,25.0,USD,White,"Essentials Loose Logo Tank Top: What's on the agenda? Whether it's a quick lunch hour workout or a casual hang, you're covered with this adidas tank top. The fit is not too tight and not too loose — just perfectly comfortable. The high neck keeps things covered up front, and the racerback shows off your sports bra while also making sure you have a full range of motion.",USA,4.8,116,Women's product,clothing,high popularity
Conext 21 Mini Ball,10.0,14.0,USD,White,"Conext 21 Mini Ball: The world moves to the beat of the beautiful game. This adidas Conext 21 Mini Ball displays a vibrant design inspired by motion. Its interlinking panels represent the unity of soccer's six continental federations. Beneath the laminated surface, a foam core means you won't need a pump to keep this pint-sized ball rolling.",USA,5.0,10,Men's product,accessories,low popularity
